点号            X                   	Y           		高程异常
1	100.008		200.007		-0.098
2	100.009		300.000		-1.090
3	99.999		400.003		-2.682
4	150.009		249.999		0.222
5	150.006		349.999		-0.820
6	149.999		450.008		-2.462
7	200.003		280.007		0.832
8	200.006		380.003		-0.140
9	200.010		480.009		-1.712
10	260.009		299.997		1.838
11	259.998		400.004		1.046
12	260.010		500.004		-0.346
13	300.010		320.008		2.572
14	300.005		420.008		1.860
15	300.008		519.998		0.548
16	369.998		270.005		4.074
17	370.004		370.004		4.012
18	370.009		470.006		3.350
19	400.008		300.007		4.778
20	400.010		400.007		4.686
